BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YSLP,YINCR,YWCM,YearsPerCompany,TenureGroup
Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,Sales Executive,4,Single,8,Yes,11,3,1,0,1,0,0.5,0.625,0.888888889,TG1
Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,1,No,23,4,4,3,3,0.1,0.7,0.7,5,TG2
Travel_Rarely,Research & Development,2,2,Other,4,Male,2,Laboratory Technician,3,Single,6,Yes,15,3,2,3,3,0,0,0,1,TG1
Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,Research Scientist,3,Married,1,Yes,11,3,3,3,3,0.375,0.875,0,4,TG2
Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,Laboratory Technician,4,Single,0,No,13,3,3,2,2,0.375,0.875,0.75,8,TG1
Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,Manufacturing Director,3,Single,0,No,21,4,2,2,3,0.1,0.7,0.8,10,TG2
Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,Healthcare Representative,3,Married,6,No,13,3,2,3,2,0.411764706,0.411764706,0.411764706,2.428571429,TG1
Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,0,Yes,12,3,4,3,3,0,0.5,0.8,10,TG2
Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,Laboratory Technician,3,Single,5,Yes,14,3,2,4,3,0,0.333333333,0.5,1,TG1
Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,Manufacturing Director,1,Divorced,1,No,11,3,3,1,3,0.8,0.9,0.8,5,TG2
Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,Manager,4,Married,2,No,16,3,3,3,3,0.096774194,0.258064516,0.225806452,10.33333333,TG3
Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,Sales Representative,1,Single,7,No,23,4,2,4,3,0,0.3,0.3,1.25,TG1
Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,Research Director,2,Single,0,No,11,3,3,4,3,0.153846154,0.461538462,0.846153846,13,TG3
Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,Research Scientist,1,Single,2,No,11,3,3,2,3,0.125,0.25,0.375,2.666666667,TG1
Travel_Rarely,Research & Development,5,3,Other,3,Female,3,Manager,3,Divorced,4,No,11,3,4,3,2,0.153846154,0.5,0.307692308,5.2,TG3
Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,1,Yes,22,4,2,5,3,0.6,0.2,0.7,5,TG2
Travel_Rarely,Sales,8,4,Marketing,3,Male,3,Sales Executive,2,Married,0,No,11,3,4,2,3,0.4,0.7,0.2,10,TG2
Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,Healthcare Representative,4,Married,3,No,14,3,4,4,3,0.208333333,0.25,0.708333333,6,TG3
Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,Laboratory Technician,3,Single,1,No,13,3,1,5,3,0.1,0,0.8,5,TG2
Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,Sales Representative,4,Married,3,No,14,3,3,6,4,0,0,0,4.75,TG1
Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,Research Scientist,4,Married,2,Yes,16,3,1,2,2,0.333333333,0,0,2,TG1
Travel_Rarely,Sales,3,2,Marketing,1,Male,2,Sales Representative,3,Married,1,Yes,14,3,3,2,3,0,0.666666667,0.666666667,1.5,TG1
Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,1,No,12,3,3,2,2,0,0,1,0.5,TG1
Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,1,No,15,3,4,0,3,0.111111111,0.888888889,0.777777778,4.5,TG2
Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,Laboratory Technician,4,Single,1,No,23,4,4,2,3,0.25,0.666666667,0.583333333,6,TG3
Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,Research Director,3,Married,1,No,12,3,4,0,3,0.652173913,0.652173913,0.347826087,11.5,TG3
Non-Travel,Sales,23,4,Marketing,2,Male,3,Sales Executive,3,Single,0,No,20,4,3,2,3,0.8,0.5,0.7,10,TG2
Travel_Frequently,Sales,5,4,Marketing,1,Male,3,Sales Executive,4,Single,4,Yes,21,4,3,4,3,0,0.428571429,0.571428571,2.8,TG2
Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,Laboratory Technician,3,Single,9,Yes,13,3,4,2,3,0,0,0,2.3,TG1
Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Laboratory Technician,3,Single,1,Yes,13,3,3,3,2,1,1,1,1,TG1
Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,1,Yes,12,3,3,1,3,0.533333333,0.933333333,0.8,7.5,TG3
Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,1,No,22,4,4,3,2,0.111111111,0.888888889,0.888888889,4.5,TG2
Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,Laboratory Technician,4,Divorced,3,No,22,4,4,3,2,0.1,0.7,0.7,2.5,TG1
Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,1,No,18,3,3,2,4,0,0.714285714,1,3.5,TG1
Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,Manufacturing Director,4,Married,1,Yes,22,4,2,3,3,0.777777778,0.888888889,0.888888889,4.5,TG2
Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,Laboratory Technician,4,Single,1,No,11,3,4,2,3,0.9,0.3,0.9,5,TG2
Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,Research Director,3,Divorced,5,Yes,12,3,4,2,2,0.448275862,0.103448276,0.275862069,4.833333333,TG3
Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7,No,11,3,4,3,2,0.25,0.571428571,0.321428571,3.5,TG3
Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,1,No,13,3,2,2,3,0.705882353,0.823529412,0.470588235,8.5,TG3
Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,Research Scientist,3,Married,0,Yes,17,3,1,0,2,0,0,0,2,TG1
Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,Research Scientist,2,Married,1,No,17,3,2,3,3,0,0.4,0.9,5,TG2
Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,Manufacturing Director,4,Single,1,No,23,4,4,2,3,0.090909091,0.636363636,0.727272727,5.5,TG3
Travel_Rarely,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,0,No,14,3,2,2,3,0.125,0.8125,0.5,16,TG3
Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,1,Yes,12,3,3,1,2,0.3,0.8,0,5,TG2
Non-Travel,Research & Development,6,3,Medical,2,Female,1,Research Scientist,4,Divorced,7,Yes,12,3,4,3,3,0.058823529,0.647058824,0.529411765,2.125,TG3
Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,1,No,19,3,1,3,3,0.909090909,0.909090909,0.727272727,5.5,TG3
Travel_Rarely,Sales,9,2,Medical,3,Male,2,Sales Executive,4,Single,1,No,16,3,4,3,3,0.444444444,0.888888889,0.777777778,4.5,TG2
Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,Healthcare Representative,2,Married,1,No,22,4,4,3,2,0.5,0.136363636,0.5,11,TG3
Travel_Rarely,Sales,21,4,Marketing,3,Male,3,Sales Executive,4,Single,0,Yes,22,4,4,2,1,0.090909091,0.636363636,0,11,TG2
Travel_Rarely,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,1,Yes,12,3,2,4,2,0.181818182,0.727272727,0.636363636,5.5,TG3
Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,Healthcare Representative,1,Married,2,Yes,13,3,3,5,2,0.428571429,0.428571429,0.238095238,7,TG2
Travel_Rarely,Sales,6,4,Medical,2,Male,3,Sales Executive,3,Single,1,No,16,3,1,0,3,0.416666667,0.666666667,0.583333333,6,TG3
Travel_Rarely,Sales,10,4,Medical,4,Male,3,Sales Executive,3,Single,0,No,13,3,3,1,2,0.026315789,0.263157895,0.210526316,38,TG3
Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,Human Resources,1,Divorced,4,Yes,22,4,4,3,3,0,0.285714286,0.285714286,1.4,TG1
Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,Laboratory Technician,4,Single,1,Yes,18,3,2,5,3,1,0,0,0.5,TG1
Travel_Rarely,Research & Development,6,4,Other,1,Female,3,Research Scientist,3,Single,1,No,14,3,3,3,3,0.125,0.8125,0.625,8,TG3
Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,Research Director,2,Married,3,Yes,19,3,1,1,2,0,0.107142857,0.25,7,TG2
Travel_Rarely,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,1,Yes,11,3,4,1,3,0,0.666666667,0.5,3,TG1
Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,Healthcare Representative,1,Single,3,No,20,4,3,1,2,0.52173913,0.52173913,0.347826087,5.75,TG3
Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,1,Yes,24,4,4,3,3,0,0.777777778,0.666666667,4.5,TG2
Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,Manager,1,Single,2,No,12,3,4,6,3,0.357142857,0.714285714,0.571428571,4.666666667,TG3
Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,0,No,14,3,3,6,3,0.2,0.7,0.8,10,TG2
Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,Manager,4,Married,1,Yes,12,3,4,3,4,0.16,0.48,0.48,12.5,TG3
Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,1,No,25,4,3,2,2,0,0.7,0.9,5,TG2
Non-Travel,Sales,22,2,Marketing,3,Male,3,Sales Executive,2,Married,0,No,13,3,1,2,4,0,0.875,0.875,8,TG1
Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,Research Scientist,2,Married,9,Yes,18,3,1,2,3,0.571428571,0.571428571,0.428571429,0.7,TG1
Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Research Director,3,Single,7,No,13,3,3,5,3,0.652173913,0.782608696,0.652173913,2.875,TG3
Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,Sales Executive,3,Married,4,Yes,18,3,2,3,2,0.583333333,0.583333333,0.583333333,2.4,TG1
Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,1,No,12,3,4,3,2,0.375,0.25,0.15,20,TG3
Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,Manufacturing Director,1,Married,1,No,14,3,3,2,2,0.3125,0.6875,0.6875,8,TG3
Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,Sales Executive,3,Married,3,Yes,11,3,3,2,3,0.5,0.5,0.5,1,TG1
Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,3,Yes,13,3,3,2,3,0,0.583333333,0.583333333,3,TG2
Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,Human Resources,3,Married,1,No,23,4,4,3,3,0.625,0.875,0.875,4,TG2
Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,Manufacturing Director,4,Single,2,No,15,3,4,2,3,0,0.111111111,0.166666667,6,TG1
Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,4,No,14,3,3,1,4,0.294117647,0.647058824,0.529411765,3.4,TG3
Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,Human Resources,4,Married,0,Yes,19,3,4,2,1,0.333333333,0.75,0.583333333,12,TG3
