Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1,2,2,3,2,Sales Executive,4,5993,8,Yes,1,0,8,0,1,6,0,5
49,No,Travel_Frequently,8,1,3,2,2,Research Scientist,2,5130,1,No,4,1,10,3,3,10,1,7
37,Yes,Travel_Rarely,2,2,4,2,1,Laboratory Technician,3,2090,6,Yes,2,0,7,3,3,0,0,0
33,No,Travel_Frequently,3,4,4,3,1,Research Scientist,3,2909,1,Yes,3,0,8,3,3,8,3,0
27,No,Travel_Rarely,2,1,1,3,1,Laboratory Technician,2,3468,9,No,4,1,6,3,3,2,2,2
32,No,Travel_Frequently,2,2,4,3,1,Laboratory Technician,4,3068,0,No,3,0,8,2,2,7,3,6
59,No,Travel_Rarely,3,3,3,4,1,Laboratory Technician,1,2670,4,Yes,1,3,12,3,2,1,0,0
30,No,Travel_Rarely,24,1,4,3,1,Laboratory Technician,3,2693,1,No,2,1,1,2,3,1,0,0
38,No,Travel_Frequently,23,3,4,2,3,Manufacturing Director,3,9526,0,No,2,0,10,2,3,9,1,8
36,No,Travel_Rarely,27,3,3,3,2,Healthcare Representative,3,5237,6,No,2,2,17,3,2,7,7,7
35,No,Travel_Rarely,16,3,1,4,1,Laboratory Technician,2,2426,0,No,3,1,6,5,3,5,0,3
29,No,Travel_Rarely,15,2,4,2,2,Laboratory Technician,3,4193,0,Yes,4,0,10,3,3,9,0,8
31,No,Travel_Rarely,26,1,1,3,1,Research Scientist,3,2911,1,No,4,1,5,1,2,5,4,3
34,No,Travel_Rarely,19,2,2,3,1,Laboratory Technician,4,2661,0,No,3,1,3,2,3,2,1,2
28,Yes,Travel_Rarely,24,3,3,2,1,Laboratory Technician,3,2028,5,Yes,2,0,6,4,3,4,0,3
29,No,Travel_Rarely,21,4,2,4,3,Manufacturing Director,1,9980,1,No,3,1,10,1,3,10,8,8
32,No,Travel_Rarely,5,2,1,4,1,Research Scientist,2,3298,0,Yes,4,2,7,5,2,6,0,5
22,No,Non-Travel,16,2,4,4,1,Laboratory Technician,4,2935,1,Yes,2,2,1,2,2,1,0,0
53,No,Travel_Rarely,2,4,1,2,4,Manager,4,15427,2,No,3,0,31,3,3,25,3,7
38,No,Travel_Rarely,2,3,4,3,1,Research Scientist,4,3944,5,Yes,3,0,6,3,3,3,1,2
24,No,Non-Travel,11,2,1,4,2,Manufacturing Director,3,4011,0,No,4,1,5,5,2,4,1,3
36,Yes,Travel_Rarely,9,4,3,2,1,Sales Representative,1,3407,7,No,2,0,10,4,3,5,0,3
34,No,Travel_Rarely,7,4,1,3,3,Research Director,2,11994,0,No,3,0,13,4,3,12,2,11
21,No,Travel_Rarely,15,2,3,3,1,Research Scientist,4,1232,1,No,4,0,0,6,3,0,0,0
34,Yes,Travel_Rarely,6,1,2,3,1,Research Scientist,1,2960,2,No,3,0,8,2,3,4,1,3
53,No,Travel_Rarely,5,3,3,3,5,Manager,3,19094,4,No,4,1,26,3,2,14,4,8
32,Yes,Travel_Frequently,16,1,2,1,1,Research Scientist,1,3919,1,Yes,2,0,10,5,3,10,6,7
42,No,Travel_Rarely,8,4,3,3,2,Sales Executive,2,6825,0,No,4,1,10,2,3,9,4,2
44,No,Travel_Rarely,7,4,1,2,3,Healthcare Representative,4,10248,3,No,4,1,24,4,3,22,5,17
46,No,Travel_Rarely,2,4,2,3,5,Manager,1,18947,3,No,4,0,22,2,2,2,2,1
33,No,Travel_Rarely,2,3,3,3,1,Laboratory Technician,4,2496,4,No,4,0,7,3,3,1,0,0
44,No,Travel_Rarely,10,4,4,3,2,Healthcare Representative,4,6465,2,Yes,4,0,9,5,4,4,1,3
30,No,Travel_Rarely,9,2,4,2,1,Laboratory Technician,3,2206,1,No,1,0,10,5,3,10,1,8
39,Yes,Travel_Rarely,5,3,4,3,2,Sales Representative,4,2086,3,No,3,1,19,6,4,1,0,0
24,Yes,Travel_Rarely,1,3,2,3,1,Research Scientist,4,2293,2,Yes,1,1,6,2,2,2,2,0
43,No,Travel_Rarely,2,2,4,4,1,Research Scientist,3,2645,1,No,4,2,6,3,2,5,1,4
50,Yes,Travel_Rarely,3,2,1,2,1,Sales Representative,3,2683,1,Yes,3,0,3,2,3,3,0,2
35,No,Travel_Rarely,2,3,4,3,1,Sales Representative,4,2014,1,No,1,0,2,3,3,2,2,2
36,No,Travel_Rarely,5,4,2,2,1,Research Scientist,1,3419,9,Yes,4,1,6,3,4,1,0,0
33,No,Travel_Frequently,1,3,3,4,2,Sales Executive,1,5376,2,No,1,2,10,3,3,5,1,3
35,No,Travel_Rarely,4,2,3,3,1,Laboratory Technician,4,1951,1,No,3,1,1,3,3,1,0,0
27,No,Travel_Rarely,2,4,4,3,1,Laboratory Technician,1,2341,1,No,4,1,1,6,3,1,0,0
26,Yes,Travel_Rarely,25,3,1,1,1,Laboratory Technician,3,2293,1,No,3,0,1,2,2,1,0,1
27,No,Travel_Frequently,8,3,4,3,3,Sales Executive,3,8726,1,No,4,0,9,0,3,9,1,7
30,No,Travel_Frequently,1,2,3,3,2,Laboratory Technician,4,4011,1,No,4,0,12,2,3,12,3,7
41,Yes,Travel_Rarely,12,3,2,3,5,Research Director,3,19545,1,No,4,0,23,0,3,22,15,8
34,No,Non-Travel,23,4,2,3,2,Sales Executive,3,4568,0,No,3,0,10,2,3,9,8,7
37,No,Travel_Rarely,19,2,2,3,1,Research Scientist,2,3022,4,No,1,0,8,1,3,1,0,0
46,No,Travel_Frequently,5,4,1,3,2,Sales Executive,4,5772,4,Yes,3,0,14,4,3,9,0,8
35,No,Travel_Rarely,8,1,4,4,1,Laboratory Technician,4,2269,1,No,4,0,1,2,3,1,0,1
48,Yes,Travel_Rarely,1,2,1,2,3,Laboratory Technician,3,5381,9,Yes,4,0,23,2,3,1,0,0
28,Yes,Travel_Rarely,5,4,3,3,1,Laboratory Technician,3,3441,1,Yes,3,0,2,3,2,2,2,2
44,No,Travel_Rarely,1,5,2,3,2,Sales Executive,1,5454,5,Yes,3,1,9,2,2,4,1,3
35,No,Non-Travel,11,2,3,2,3,Healthcare Representative,1,9884,2,Yes,3,1,10,3,3,4,2,3
26,No,Travel_Rarely,23,3,3,2,2,Sales Executive,4,4157,7,Yes,3,1,5,2,2,2,0,0
33,No,Travel_Frequently,1,2,1,3,3,Research Director,4,13458,1,Yes,3,0,15,1,3,15,8,12
35,No,Travel_Frequently,18,5,2,3,3,Sales Executive,1,9069,1,No,4,1,9,3,2,9,1,8
35,No,Travel_Rarely,23,4,3,3,1,Laboratory Technician,1,4014,3,Yes,3,1,4,3,3,2,2,2
31,No,Travel_Rarely,7,4,4,3,2,Laboratory Technician,4,5915,3,No,4,1,10,3,2,7,1,7
37,No,Travel_Rarely,1,4,1,2,2,Manufacturing Director,3,5993,1,No,3,1,7,2,4,7,0,7
32,No,Travel_Rarely,1,3,1,3,2,Manufacturing Director,4,6162,1,Yes,2,1,9,3,3,9,7,8
38,No,Travel_Frequently,29,5,4,3,2,Laboratory Technician,4,2406,1,No,4,0,10,2,3,10,9,9
50,No,Travel_Rarely,7,2,2,2,5,Research Director,3,18740,5,Yes,4,1,29,2,2,27,13,8
59,No,Travel_Rarely,25,3,1,3,3,Sales Executive,1,7637,7,No,4,0,28,3,2,21,7,9
36,No,Travel_Rarely,8,3,3,3,3,Healthcare Representative,3,10096,1,No,2,3,17,2,3,17,12,8
55,No,Travel_Rarely,8,3,4,3,4,Manager,3,14756,2,Yes,3,3,21,2,3,5,0,2
